"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Dienstag 8. Mai 2018 ","","Hammer, diese Grill-Hammel!","","BILD Bund","","",
"","Dienstag 8. Mai 2018 ","","Stöger schickt sich selbst nach Hause; ...und kassiert mit Glück zwei Mio Euro","","BILD Bund","","",
"","Dienstag 8. Mai 2018 ","","60 Mrd. Steuer-Plus; Merkel, rück die Kohle raus!; Kanzlerin und Finanzminister gegen Steuersenkung; Wir wollen unser Geld zurück!","","BILD Bund","","",
"","Donnerstag 3. Mai 2018 ","","Telefon-Lotto!; HEUTE 700 000 Euro IM POTT; 700000 EURO IM POTT! MIT ZUSATZ-CHANCE","","BILD Bund","","",
"","Mittwoch 2. Mai 2018 ","","NACHRICHTEN","","BILD Bund","","",
"","Montag 30. April 2018 ","","RHEIN RUNTER!; So plant Köln die Bundesliga-Rückkehr","","BILD Bund","","",
"","29. April 2018 ","","Merkels Mann fürs Digitale","","BILD am Sonntag","","",
"","29. April 2018 ","","Diese Frau hat die Hannelore-Kohl-Krankheit","","BILD am Sonntag","","",
"","Mittwoch 25. April 2018 ","","BILD HINTER DEN KULISSEN BEI "BARES FÜR RARES"; FÜR 10 STUNDEN DREH GIBT'S 80 EURO","","BILD Bund","","",
"","Montag 23. April 2018 ","","Große BILD-Serie!; Mit diesen Tipps spart wirklich jeder Geld; SO SPAREN SIE JEDEN TAG BARES GELD!","","BILD Bund","","",
"","Freitag 20. April 2018 ","","3 Stars 3 Klauseln","","BILD Bund","","",
"","Freitag 20. April 2018 ","","Unsere 55-MIOVERSTÄRKUNG für die WM; Kann Deutschland mit dem NHL-Star sogar den Titel holen?","","BILD Bund","","",
"","Donnerstag 19. April 2018 ","","Er will einfach weg; VW-Vorstand geht ohne einen Cent","","BILD Bund","","",
"","Mittwoch 18. April 2018 ","","Auch Linke können feiern","","BILD Bund","","",
"","15. April 2018 ","","Jetzt raus in den Garten; Unser großes Glück im Kleingarten","","BILD am Sonntag","","",
"","15. April 2018 ","","RATGEBER; Experten antworten auf Ihre Fragen","","BILD am Sonntag","","",
"","Donnerstag 12. April 2018 ","","APRIL, APRIL  WAS DER GARTEN JETZT WILL","","BILD Bund","","",
"","Mittwoch 11. April 2018 ","","VW-Boss Müller muss gehen; Der geilste Rauswurf ALLER Zeiten; 8 PORSCHE IN DER GARAGE NEUE FREUNDIN 30 MIO. EURO RENTE; VW-CHEF BEKOMMT 3600 EURO RENTE PRO TAG; Freitag will ihn der Aufsichtsrat feuern","","BILD Bund","","",
"","Dienstag 10. April 2018 ","","Leser schreiben in Bild","","BILD Bund","","",
"","8. April 2018 ","","Wetten, dass dieser Film ein heißer Tipp ist?","","BILD am Sonntag","","",
"","Freitag 6. April 2018 ","","Ist Bushidos Traum geplatzt?","","BILD Bund","","",
"","Donnerstag 5. April 2018 ","","9 Trends für die neue Grillsaison","","BILD Bund","","",
"","Mittwoch 4. April 2018 ","","Titelseite","","BILD Bund","","",
"","Montag 26. März 2018 ","","SCHMERZEN BEI KINDERN; Was steckt hinter kleinen Wehwehchen?","","BILD Bund","","",
"","Samstag 24. März 2018 ","","Islam-Streit zwischen Kanzlerin und Seehofer; Frau Merkel, darum liegen Sie falsch!; Wer spricht für Deutschland?","","BILD Bund","","",
"","Montag 19. März 2018 ","","Ferres & Maschmeyer; 1. GEMEINSAMES INTERVIEW; Über Geld, Patchwork-Probleme und ein dunkles Geheimnis; "Beim dritten Date hätte sie mich fast umgebracht"; Filmstar VERONICA FERRES und Start-up-Investor CARSTEN MASCHMEYER","","BILD Bund","","",
