"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Dienstag 8. Mai 2018 ","","Warum der Tod im Leben ein wichtiges Thema sein muss","","BILD Bund","","",
"","Dienstag 8. Mai 2018 ","","NACH DISKUSSION UM POST-JOBS; Kündigung wegen Krankheit - ist das erlaubt?","","BILD Bund","","",
"","Donnerstag 3. Mai 2018 ","","Musste Ole (7) sterben, weil er nicht auf seine Pflege-Oma hörte?","","BILD Bund","","",
"","1. Mai 2018 ","","Junge (7) bei Pflege-Oma erwürgt; Vater fand die Leiche 69-Jährige gefasst Freundin: "Sie liebte ihn wie einen Enkelsohn"","","BILD am Sonntag","","",
"","Samstag 28. April 2018 ","","KEINEN BOCK AUF SCHL ACHTER; Ziege "Flöckchen" versteckte sich 2 Jahre im Wald","","BILD Bund","","",
"","Donnerstag 26. April 2018 ","","35 000 Pflegestellen sind nicht besetzt","","BILD Bund","","",
"","Donnerstag 26. April 2018 ","","BRAUCHT MEIN KIND WIRKLICH EINE ZAHNSPANGE?; Und wann ist sie für Erwachsene sinnvoll?","","BILD Bund","","",
"","Donnerstag 26. April 2018 ","","Herzogin Kate nach der Entbindung; So schön dank Hypnose-Geburt","","BILD Bund","","",
"","Mittwoch 25. April 2018 ","","Brisanter Bericht vom Bundesrechnungshof; Milliarden-Abzocke mit Zahnspangen; Keiner weiß, was sie wirklich bringen!; Helfen Zahnspangen nur dem Geldbeutel der Ärzte?","","BILD Bund","","",
"","Dienstag 24. April 2018 ","","RECHNUNGSHOF KRITISIERT ZAHNSPANGEN-ABZOCKE","","BILD Bund","","",
"","Dienstag 24. April 2018 ","","Zwingt Spahn die Kassen in die Knie?","","BILD Bund","","",
"","Montag 23. April 2018 ","","Leser schreiben in Bild","","BILD Bund","","",
"","Montag 23. April 2018 ","","BILD-Reporter über seine erste; DARMSPIEGELUNG; "Die Untersuchung hat mir das Leben gerettet"","","BILD Bund","","",
"","22. April 2018 ","","Raimund feiert Silberhochzeit mit seinem zweiten Herzen","","BILD am Sonntag","","",
"","22. April 2018 ","","MEINGELD; So versichern Sie Ihr Tier richtig","","BILD am Sonntag","","",
"","Samstag 21. April 2018 ","","PFLEGE; Der große Ratgeber; LASST UNS ÜBER PFLEGE REDEN!; Wann und was zahlt der Staat? Welche Rechte habe ich als Angehöriger?; Wie Sie dieses Thema am besten in der Familie besprechen; Welche Hilfen es vom Staat gibt und viele weitere Fragen und Antworten","","BILD Bund","","",
"","Freitag 20. April 2018 ","","Die große Debatte; Müssen Kinder ihre Eltern im Alter pflegen?; "Meine Eltern erwarten nicht, dass ich sie pflege" , sagte Minister Spahn (CDU) gestern im TV. Die große Diskussion; Gibt es eine Pflicht zur Pflege?","","BILD Bund","","",
"","Dienstag 17. April 2018 ","","So sehr könnte Ihre Kranken-Kasse den Beitrag senken","","BILD Bund","","",
"","Dienstag 17. April 2018 ","","KOMMENTAR; Gebt uns unser Geld zurück!","","BILD Bund","","",
"","Montag 16. April 2018 ","","Kein Gesundheits-Rabatt!; Krankenkasse hält diesen Mann für zu schwer; ER NAHM IN 6 MONATEN 20 KILO AB!; Kein Kassen-Rabatt für Adriaan (29)","","BILD Bund","","",
"","15. April 2018 ","","Jetzt raus in den Garten; Unser großes Glück im Kleingarten","","BILD am Sonntag","","",
"","15. April 2018 ","",""Typisch deutsch ist die Liebe zur Heimat"","","BILD am Sonntag","","",
"","Samstag 14. April 2018 ","","BILD-Reporterin Avzin Arbilly (23); "Ich spende meine Haare für eine krebskranke Frau"","","BILD Bund","","",
"","Freitag 13. April 2018 ","","Keine Prämien, geringere Erstattung, weniger Service; So schlecht behandeln Krankenkassen alte Menschen; Schwerer Vorwurf vom Bundesversicherungsamt; Kassen benachteiligen Rentner bei OP-Kuren!","","BILD Bund","","",
"","Freitag 13. April 2018 ","","Endlich Schluss mit Heuschnupfen; DIE NEUESTEN MITTEL GEGEN POLLEN","","BILD Bund","","",
"","Donnerstag 12. April 2018 ","","Debatte um Vorzugsbehandlung von Politikern; JETZT SPRECHEN DIE ÄRZTE!","","BILD Bund","","",
"","Mittwoch 11. April 2018 ","","Schön und bitter","","BILD Bund","","",
"","Mittwoch 11. April 2018 ","","DIE GABRIELDEBATTE; Werden Politiker beim Arzt wirklich besser behandelt als normale Menschen?","","BILD Bund","","",
"","Dienstag 10. April 2018 ","","GABRIELS BITTERE ANKLAGE; Die Politik versteht das Leben der Menschen nicht mehr","","BILD Bund","","",
"","Montag 9. April 2018 ","","RENTE steigt 2019 zweimal!; 2019 Zweimal Rentenerhöhung in einem Jahr","","BILD Bund","","",
"","Freitag 6. April 2018 ","","Nach Mordanschlag mit Beil; Chico sollte Frauchen vor brutalem Ex beschützen","","BILD Bund","","",
"","1. April 2018 ","","Spahn will ausländische Pflegekräfte anwerben","","BILD am Sonntag","","",
"","1. April 2018 ","","Ihre Meinung zu BamS","","BILD am Sonntag","","",
"","Samstag 31. März 2018 ","","Leser schreiben in Bild","","BILD Bund","","",
"","Donnerstag 29. März 2018 ","","Ab 1. April drohen höhere Zuzahlungen für Arzneimittel","","BILD Bund","","",
"","Donnerstag 29. März 2018 ","","NEUE ZAHLEN; Immer mehr Rentner leben von Hartz IV!; ...und die Pensionen steigen im Schnitt auf über 3000 Euro; 544 090 arme Rentner ...; ... und die Durchschnitts-Pensionen der Beamten steigen um 50 Euro","","BILD Bund","","",
"","Samstag 24. März 2018 ","","SONNTAG ZEITUMSTELLUNG; Kinder tun sich am schwersten","","BILD Bund","","",
"","Samstag 24. März 2018 ","","Titelseite","","BILD Bund","","",
"","Donnerstag 22. März 2018 ","","Experte warnt; Mehr Fachkräfte, oder der Wirtschaftsboom geht zu Ende!","","BILD Bund","","",
"","Donnerstag 22. März 2018 ","","Bach-Medaille für US-Pianist Robert Levin","","BILD Bund","","",
"","Dienstag 20. März 2018 ","","Titelseite","","BILD Bund","","",
"","Freitag 16. März 2018 ","","Schule benennt sich nach Maria Furtwängler","","BILD Bund","","",
"","Freitag 16. März 2018 ","","NEU IM AMT; Das hat Spahn mit unserer Gesundheit vor!","","BILD Bund","","",
"","Donnerstag 15. März 2018 ","","Titelseite","","BILD Bund","","",
