"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Dienstag 8. Mai 2018 ","","ELLWANGEN; FDP fordert Landtags-Debatte","","BILD Bund","","",
"","Dienstag 8. Mai 2018 ","","Ex-Leibwächter von bin Laden; Dieses Urteil muss Sami A. jetzt fürchten; Verfassungsgericht gestattet in ähnlichem Fall Abschiebung nach Tunesien","","BILD Bund","","",
"","Dienstag 8. Mai 2018 ","","Leser schreiben in Bild","","BILD Bund","","",
"","Montag 7. Mai 2018 ","","Ellwangen; Sollte Flüchtlings-Randale vertuscht werden?; ELLWANGEN Wollten Behörden die Randale vertuschen?","","BILD Bund","","",
"","6. Mai 2018 ","","KOMMENTAR; Letzte Chance Asyl-Zentren","","BILD am Sonntag","","",
"","6. Mai 2018 ","","Bekommt Seehofer das Asyl-Chaos endlich in den Griff?","","BILD am Sonntag","","",
"","6. Mai 2018 ","","Eine Frage der Haltung; Karl Marx' großer Irrtum über Religion","","BILD am Sonntag","","",
"","Samstag 5. Mai 2018 ","","Italien ist für Yussif nicht zumutbar!; Randale-Flüchtling soll zurück in das Land, aus dem er zu uns gekommen ist. Sein Anwalt wehrt sich jetzt","","BILD Bund","","",
"","Samstag 5. Mai 2018 ","","Leser schreiben in Bild","","BILD Bund","","",
"","Freitag 4. Mai 2018 ","","Nach Flüchtlings-Randale gegen Polizei; Riesen-Razzia - aber was kommt jetzt?; "Ein Schlag ins Gesicht der rechtstreuen Bevölkerung"; BILD sagt, was Minister Seehofer jetzt tun muss","","BILD Bund","","",
"","Freitag 4. Mai 2018 ","","POST VON WAGNER; Lieber Heimat-Minister Seehofer,","","BILD Bund","","",
"","Donnerstag 3. Mai 2018 ","","Abschiebung eines Togolesen mit Gewalt verhindert; 150 Asylbewerber jagen Polizei davon; "DIE WOLLTEN MICH SCHON IM FEBRUAR HOLEN"; 150 Asylbewerber verjagen Polizei. BILD traf den Mann, der abgeschoben werden sollte","","BILD Bund","","",
"","Mittwoch 2. Mai 2018 ","","KOMMENTAR; Abschieben!","","BILD Bund","","",
"","1. Mai 2018 ","","Der wichtigste EU-Grenzschützer fordert konsequente Abschiebungen; Dieser Mann sichert Europas Grenzen","","BILD am Sonntag","","",
"","Montag 30. April 2018 ","","FLAGGEN-SCHANDE; Was geschieht, wenn man in Deutschland eine Israel-Fahne aufhängt?; BILD macht den Test an Deutschlands Brennpunkten; WIE LANGE HÄNGT EINE ISRAELFLAGGE?","","BILD Bund","","",
"","Montag 30. April 2018 ","","Titelseite","","BILD Bund","","",
"","29. April 2018 ","","Merkels Mann fürs Digitale","","BILD am Sonntag","","",
"","Samstag 28. April 2018 ","","Titelseite","","BILD Bund","","",
"","Samstag 28. April 2018 ","","Sicherheitsrisiko nach Asyl-Betrug","","BILD Bund","","",
"","Samstag 28. April 2018 ","","Leser schreiben in Bild","","BILD Bund","","",
"","Freitag 27. April 2018 ","","Titelseite","","BILD Bund","","",
"","Freitag 27. April 2018 ","","KOMMENTAR; Sparplan statt Blanko-Scheck!","","BILD Bund","","",
"","Freitag 27. April 2018 ","","ABSCHIEBE-IRRSINN; Afghanen schicken uns diesen Terroristen zurück","","BILD Bund","","",
"","Donnerstag 26. April 2018 ","","Abschiebe-Wahnsinn; JETZT KRISENGIPFEL WEGEN BIN LADENS LEIBWÄCHTER","","BILD Bund","","",
"","Donnerstag 26. April 2018 ","","Richter verkürzt Haftstrafe für Intensiv-Täter; Wie kann so einer "haftempfindlich"","","BILD Bund","","",
