"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","6. Mai 2018 ","","Zoll findet 50 Krokodile","","BILD am Sonntag","","",
"","Mittwoch 2. Mai 2018 ","","Wirtschaft kritisiert Trumps Zoll-Poker","","BILD Bund","","",
"","1. Mai 2018 ","","ABGEFAHREN; Erster Härtetest für die A-Klasse","","BILD am Sonntag","","",
"","Montag 30. April 2018 ","","DIE TALK SCHAU","","BILD Bund","","",
"","Montag 30. April 2018 ","","USA gegen USA; Bringt der Zoll-Zoff deutsche Jobs in Gefahr?","","BILD Bund","","",
"","29. April 2018 ","","Merk(el)-Zettel für Trump","","BILD am Sonntag","","",
"","Samstag 28. April 2018 ","","Zoll erwischt Frau mit 21 Blutegeln","","BILD Bund","","",
"","Samstag 28. April 2018 ","","Politik voller Hoffnung","","BILD Bund","","",
"","Samstag 28. April 2018 ","","TRUMP & MERKEL; ENDLICH FREUNDE?; Küsschen, Kuscheln, Komplimente - aber der Streit um Zölle und Iran geht weiter","","BILD Bund","","",
"","Freitag 27. April 2018 ","","Angela Merkel; 17 STUNDEN FLUG FÜR EIN MITTAGESSEN MIT DONALD TRUMP","","BILD Bund","","",
"","Mittwoch 25. April 2018 ","","ZOLL FINDET MINI-WAFFEN","","BILD Bund","","",
"","Mittwoch 25. April 2018 ","","Trump & Macron; Wie eifersüchtig muss Kanzlerin Merkel auf diesen Kuss sein?","","BILD Bund","","",
"","Montag 23. April 2018 ","","Titelseite","","BILD Bund","","",
"","Freitag 20. April 2018 ","","Geheime Absprachen gegen Trump; Wie Merkel und Macron US-Strafzölle verhindern wollen","","BILD Bund","","",
"","Mittwoch 18. April 2018 ","","SPORT","","BILD Bund","","",
"","15. April 2018 ","","Polizei greift durch; OPERATION NULL TOLERANZ; Tut unser Staat genug gegen kriminelle Clans?","","BILD am Sonntag","","",
"","Donnerstag 12. April 2018 ","","RIESEN-RAZZIA AUF 21 BAUSTELLEN; Ist das DER KÖNIG der Schwarzarbeiter?","","BILD Bund","","",
"","Donnerstag 12. April 2018 ","","NEUER AUDI A6 KOMBI; So schön war Avant noch nie!","","BILD Bund","","",
"","Mittwoch 11. April 2018 ","","Titelseite","","BILD Bund","","",
"","Samstag 7. April 2018 ","","EZB fürchtet Delle beim Wirtschaftswachstum","","BILD Bund","","",
"","Donnerstag 5. April 2018 ","","Meldungen","","BILD Bund","","",
"","Dienstag 3. April 2018 ","","Titelseite","","BILD Bund","","",
"","1. April 2018 ","","Biebers Affe wird Vater","","BILD am Sonntag","","",
"","Dienstag 27. März 2018 ","","Riesenspinne in Flugzeug entdeckt","","BILD Bund","","",
"","25. März 2018 ","","ABGEFAHREN; Das Display im neuen Touareg hat eine "Saubermach"-Taste","","BILD am Sonntag","","",
"","Freitag 23. März 2018 ","","Zoll findet verbotene Laser-Waffen","","BILD Bund","","",
"","Freitag 23. März 2018 ","","Trump verzichtet auf Strafzölle gegen die EU","","BILD Bund","","",
"","Dienstag 20. März 2018 ","","Wirtschaftsminister Peter Altmaier; US-Strafzölle können verhindert werden","","BILD Bund","","",
"","Montag 19. März 2018 ","","BILD-Interview mit Olaf Scholz (SPD); Seehofer ist sein Islam-Satz auf die Füße gefallen","","BILD Bund","","",
"","Samstag 17. März 2018 ","","Kommissar im Knast; Marek G. (39) soll die Berliner Drogenmafia unterstützt haben","","BILD Bund","","",
"","Samstag 17. März 2018 ","","209 Stellen zusätzlich; GroKo plant Bläh-Regierung","","BILD Bund","","",
