"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","8. Mai 2018 ","","Neue BILD-Serie: Der Tod darf kein Tabu sein; Lassen Sie uns übers Sterben reden!","","Bild plus","","",
"","6. Mai 2018 ","","Exklusive Zahlen; Jeder vierte Arzt war schon Opfer von Gewalt","","Bild plus","","",
"","6. Mai 2018 ","","Neue BILD-Serie: Der Tod darf kein Tabu sein; Lassen Sie uns übers Sterben reden!","","Bild plus","","",
"","5. Mai 2018 ","","Exklusive Zahlen; Jeder vierte Arzt war schon Opfer von Gewalt","","Bild plus","","",
"","25. April 2018 ","","Keiner weiß, was sie wirklich bringen!; Helfen Zahnspangen nur dem Geldbeutel der Ärzte?","","Bild plus","","",
"","23. April 2018 ","","Fast 80 000 Menschen in Deutschland haben eine Augen-Prothese; BILD-Besuch in der Glasaugen-Manufaktur","","Bild plus","","",
"","20. April 2018 ","","Debatte nach TV-Auftritt von Minister Spahn; Muss ich meine Eltern im Alter pflegen?","","Bild plus","","",
"","20. April 2018 ","","Geld, Recht, Hilfe; Was Sie über die Pflege wissen müssen","","Bild plus","","",
"","19. April 2018 ","","Thailänderin (59) bei Riesen-Razzia festgenommen; Das ist die Chefin der Menschenhändler-Bande","","Bild plus","","",
"","19. April 2018 ","","Debatte nach TV-Auftritt von Minister Spahn; Muss ich meine Eltern im Alter pflegen?","","Bild plus","","",
"","17. April 2018 ","","Geheimpapier zeigt, wie viel gesetzlich Versicherte sparen könnten; So könnte Ihre Krankenkasse den Beitrag senken  ","","Bild plus","","",
"","16. April 2018 ","","Rabatt abgelehnt!; Krankenkasse hält Adriaan (29) für zu schwer","","Bild plus","","",
"","16. April 2018 ","","Geheimpapier zeigt, wie viel gesetzlich Versicherte sparen könnten; So könnte Ihre Krankenkasse den Beitrag senken  ","","Bild plus","","",
"","15. April 2018 ","","Rabatt abgelehnt!; Krankenkasse hält Adriaan (29) für zu schwer","","Bild plus","","",
"","14. April 2018 ","","Neue Mittel für Allergiker; Das hilft wirklich gegen Heuschnupfen","","Bild plus","","",
"","14. April 2018 ","","Bundespräsident Steinmeier im Exklusiv-Interview; "Typisch Deutsch ist die Liebe zur Heimat"","","Bild plus","","",
"","12. April 2018 ","","Debatte um Vorzugsbehandlung von Politikern; Jetzt sprechen die Ärzte!","","Bild plus","","",
"","11. April 2018 ","","Debatte um Vorzugsbehandlung von Politikern; Jetzt sprechen die Ärzte!","","Bild plus","","",
"","2. April 2018 ","",""Tatort"-Star Martin Brambach; "Meine Frau nahm mir die Lust auf  "","","Bild plus","","",
"","28. März 2018 ","","Neue Zahlen zeigen; Immer mehr Rentner leben von Hartz IV!","","Bild plus","","",
"","19. März 2018 ","","Versorgungsnotstand in Kleinstadt; 16 Ärzte haben mich weggeschickt!","","Bild plus","","",
"","18. März 2018 ","","Deutschlands neuer Gesundheitsminister; Jens Spahn greift Abtreibungs-Befürworter an","","Bild plus","","",
"","17. März 2018 ","","Deutschlands neuer Gesundheitsminister; Jens Spahn will Demenz besiegen","","Bild plus","","",
