"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","8. Mai 2018 ","","Ausweis-Dealer packt im Gespräch mit BILD aus; Handel mit deutschen Flüchtlingspapieren boomt","","Bild plus","","",
"","7. Mai 2018 ","","Rastete Mutter Blessing E. (32) aus, weil Tochter (2) schrie?; Zeugin: "Sie knallte das Kind mit der Stirn auf die Steinplatte","","Bild plus","","",
"","7. Mai 2018 ","","Ellwangen; Wollten Behörden die Randale vertuschen?","","Bild plus","","",
"","6. Mai 2018 ","","Ellwangen; Wollten Behörden die Randale vertuschen?","","Bild plus","","",
"","4. Mai 2018 ","","Hickhack um Randale-Flüchtling - jetzt wehrt sich sein Anwalt; Italien ist für Yussif nicht zumutbar!","","Bild plus","","",
"","3. Mai 2018 ","","150 Asylbewerber verjagen Polizei; "Die wollten mich schon im Februar holen"","","Bild plus","","",
"","2. Mai 2018 ","","150 Asylbewerber verjagen Polizei; "Die wollten mich schon im Februar holen"","","Bild plus","","",
"","30. April 2018 ","","Interview mit Frontex-Chef Leggeri; Dieser Mann sichert Europas Grenzen","","Bild plus","","",
"","29. April 2018 ","","Vom Bürgerkrieg in Syrien zur Olympia-Schwimmerin; Meine Flucht in ein neues Leben","","Bild plus","","",
"","28. April 2018 ","","Vom Bürgerkrieg in Syrien zur Olympia-Schwimmerin; Meine Flucht in ein neues Leben","","Bild plus","","",
"","27. April 2018 ","","BILD war schon mal drin!; Auf diese Barracken schaut jetzt die ganze Welt","","Bild plus","","",
"","25. April 2018 ","","Jüdische Kopfbedeckung; Darum trägt Judith (17) aus Berlin Kippa","","Bild plus","","",
"","25. April 2018 ","","Bin Ladens Leibwächter; Warum darf der bleiben?","","Bild plus","","",
"","25. April 2018 ","","Abschiebe-Wahnsinn; Jetzt Krisentreffen wegen Osama bin Ladens Leibwächter","","Bild plus","","",
"","24. April 2018 ","","Bin Ladens Leibwächter; Warum darf der bleiben?","","Bild plus","","",
"","24. April 2018 ","","Er lebt seit 1997 in Deutschland; So viel Stütze kassiert bin Ladens Leibwächter","","Bild plus","","",
"","23. April 2018 ","","Fast 80 000 Menschen in Deutschland haben eine Augen-Prothese; BILD-Besuch in der Glasaugen-Manufaktur","","Bild plus","","",
"","23. April 2018 ","","Er lebt seit 1997 in Deutschland; So viel Stütze kassiert bin Ladens Leibwächter","","Bild plus","","",
"","22. April 2018 ","","Edin Hasanovic und Iris Berben; Wer von Ihnen feiert wilder?","","Bild plus","","",
