"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","1. Mai 2018 ","","10 Limousinen im Test; Bei diesen Mittelklasse-Autos beginnt Luxus!","","Bild plus","","",
"","1. Mai 2018 ","","Vier-Augen-Gespräch zwischen Kanzlerin und US-Präsident; Trump fragte Merkel über Putin aus","","Bild plus","","",
"","30. April 2018 ","","Deutschlands Außenhandelspräsident im BILD-Interview; Wie gefährlich ist der Konflikt für unsere Wirtschaft?","","Bild plus","","",
"","28. April 2018 ","","Besuch im Weißen Haus; Merk(el)-Zettel für Trump","","Bild plus","","",
"","20. April 2018 ","","Moto G6 schon ausprobiert; Motorola macht das Smartphone günstig!","","Bild plus","","",
"","16. April 2018 ","","Wirtschaftsminister Altmaier im Interview; Arbeit und Aufstieg - das ist deutsche Leitkultur","","Bild plus","","",
"","15. April 2018 ","","Großeinsatz gegen Araber-Clan; Operation Null Toleranz","","Bild plus","","",
"","15. April 2018 ","","Wirtschaftsminister Altmaier im Interview; Arbeit und Aufstieg - das ist deutsche Leitkultur","","Bild plus","","",
"","7. April 2018 ","","USA und China im Handelsstreit; Deutschland zwischen den Fronten","","Bild plus","","",
"","30. März 2018 ","","Das billigste iPad aller Zeiten im Test; Für wen lohnt sich  Apples 349-Euro-iPad?","","Bild plus","","",
"","18. März 2018 ","","Moderatorin erhebt schwere Vorwürfe; So litt Schreinemakers Hund im Sperrgepäck","","Bild plus","","",
"","18. März 2018 ","","EVP-Fraktionschef Manfred Weber (CSU) im BILD-Interview; "Putin führt modernen Krieg gegen den Westen"","","Bild plus","","",
"","18. März 2018 ","","Finanzminister Olaf Scholz im BILD-Interview; "Seehofer ist sein Islam-Satz auf die Füße gefallen","","Bild plus","","",
"","17. März 2018 ","","BILD in der Fabrik und im Auto; Borgward made in China - geht der Plan auf?","","Bild plus","","",
"","17. März 2018 ","","Schreinemakers erhebt schwere Vorwürfe; Straßenhund "Peppa" musste im Sperrgepäck leiden!","","Bild plus","","",
"","16. März 2018 ","","In U-Haft nach Korruptionsverdacht; Kommissar soll für Drogen-Mafia gearbeitet haben!","","Bild plus","","",
"","15. März 2018 ","","Samsung Galaxy S9 und S9+ im Test; Warum Sie das Superhandy noch nicht kaufen sollten","","Bild plus","","",
