"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Dienstag 8. Mai 2018 ","","Wissen Kompakt; Medizin: Mehr Informationen über Ärzte gewünscht ++ Tiere: Australien will Koalas besser schützen ++ Studie: Migration: Verbitterte mit größeren Sorgen ++ Umwelt: Tourismus schädigt mehr als erwartet","","Die Welt","","",
"","Dienstag 8. Mai 2018 ","","Teambildung auf der Zugspitze; Die Führungen der Koalitionsfraktionen tagen in den Alpen. Offiziell geht es um Wohnungsbau- und Außenpolitik. Doch ausgerechnet der Gastgeber verursacht einige Misstöne","","Die Welt","","",
"","Dienstag 8. Mai 2018 ","","Nie war Orbáns Spielraum größer; Ungarns Regierungschef stellt seine Minister vor - besonders eine Personalie steht im Fokus: der neue Europakoordinator. Seine Ernennung ist ein Signal in Richtung Berlin","","Die Welt","","",
"","Montag 7. Mai 2018 ","","Politik Kompakt; Freiburg: Grüner OB abgewählt, Parteiloser kommt ++ Krankenkasse: Spahn gegen höhere Beiträge für Raucher ++ Bundeswehr: Beschaffungsamt fehlen die Mitarbeiter ++ Afghanistan: Viele Tote bei Anschlag auf Moschee","","Die Welt","","",
"","Montag 7. Mai 2018 ","",""Es wird niemals jeder Patient seinen Wunschtermin bekommen"; Per Gesetz will Gesundheitsminister Jens Spahn die Terminvergabe beim Facharzt verbessern. Das sei kein realistisches Ziel, kritisiert Ärztepräsident Frank Ulrich Montgomery. Er hat einen anderen Vorschlag","","Die Welt","","",
"","6. Mai 2018 ","","Der Norden bittet zur Kasse; Die von Ministerpräsident Söder versprochenen Millionen für das Riedberger Horn wecken Begehrlichkeiten in anderen Regionen. Sie fühlen sich vernachlässigt","","Welt am Sonntag","","",
"","6. Mai 2018 ","",""Ich bin ängstlicher als andere Mütter"; Ein Gespräch über Trauer, Kultur, Gott und Kosten mit Franziska Manterfeld. In vierter Generation leitet sie das Bestattungsinstitut Weidemann in Glinde","","Welt am Sonntag","","",
"","6. Mai 2018 ","","Sechs Kosmetiktipps für Sylt & Co; Die Chefinnen des Osdorfer Online-Shops "Niche Beauty" sprechen über ihre persönlichen Lieblingsprodukte","","Welt am Sonntag","","",
"","6. Mai 2018 ","","So legalisieren Sie Ihre Haushaltshilfe","","Welt am Sonntag","","",
"","6. Mai 2018 ","","Frost vor Zugspitzen-Gipfel; SPD wirft Unionsministern "Alleingänge, Pseudodebatten und Ego-Interventionen" vor","","Welt am Sonntag","","",
"","Samstag 5. Mai 2018 ","","Der übersehene Faktor für ein langes Leben; Reiche Menschen kommen leichter an Medikamente und bessere Therapien als arme. Trotzdem ist Wohlstand kein Garant für ein langes Leben. Bildung sei wichtiger, sagt Sozialstatistiker Wolfgang Lutz aus Österreich","","Die Welt","","",
"","Samstag 5. Mai 2018 ","","Die Zinsfalle; Beim Baukredit sollte man sich rechtzeitig um eine Anschlussfinanzierung bemühen. Wachsame Bankkunden profitieren dabei vom harten Wettbewerb. Wer sich nicht kümmert, dem drohen teure Überraschungen","","Die Welt","","",
"","Samstag 5. Mai 2018 ","","Trump besiegen; Bei den Wahlen im November entscheidet sich das Schicksal des Präsidenten - und das der USA. Gewinnen die Republikaner, droht die Verwandlung in eine autoritäre Republik. Triumphieren die Demokraten, steht die große Abrechnung an","","Die Welt","","",
"","Samstag 5. Mai 2018 ","","Liebste Wünsche zum 70.; Die Frauen-Union feiert ihr 70-Jähriges. Bei dem heutigen Festakt wird die Kanzlerin gratulieren. Wir tun es schon jetzt","","Die Welt","","",
"","Freitag 4. Mai 2018 ","",""Inkubationszeit der Moderne"; Der Leiter der Alten Nationalgalerie Ralph Gleis zur Bedeutung der Sammlung und der Mischung aus Tradition und Neuanfang","","Die Welt","","",
"","Freitag 4. Mai 2018 ","","Dax ändert nach Höhenflug wieder die Richtung; Adidas-Aktie fällt nach Zahlen an das Indexende","","Die Welt","","",
"","Donnerstag 3. Mai 2018 ","","Olaf Scholz stolpert über seine Fußnoten; Viele Genossen hatten sich gefreut, den Finanzminister stellen zu können. Schließlich ist er zuständig fürs Geldausgeben. Doch der erste Haushaltsentwurf löst Empörung aus","","Die Welt","","",
"","Montag 30. April 2018 ","","Tückisches Plus; Der Staat zahlt seit 2017 mehr Rente. Für 120.000 Senioren heißt das: sich um die Steuer kümmern","","Die Welt","","",
"","Montag 30. April 2018 ","","Brexit? Aber nicht mit iPhone; Ein Brief des EU-Parlaments an das britische Innenministerium, der WELT exklusiv vorliegt, offenbart schwere Mängel bei der nötigen Registrierung von EU-Bürgern","","Die Welt","","",
"","Montag 30. April 2018 ","",""Der Kämpfer hat Flügel bekommen"; Der kleine Alfie Evans stirbt in Liverpool","","Die Welt","","",
"","29. April 2018 ","","Vorsorge, wozu?; Einmal im Jahr zum allgemeinen Gesundheitscheck, außerdem Brust, Haut und Darm auf Krebs untersuchen lassen. Das soll ein langes, gesundes Leben garantieren. Doch nun melden Forscher Zweifel an","","Welt am Sonntag","","",
"","29. April 2018 ","","Alles für Steffi; Vor 25 Jahren verübte Günter Parche das Attentat auf Monica Seles. Für ihn blieb die Tat ohne gravierende Folgen. Die Tennisspielerin hat den 30. April 1993 noch immer nicht verarbeitet","","Welt am Sonntag","","",
"","29. April 2018 ","","Der Gämswurz als Ruhestörer","","Welt am Sonntag","","",
"","29. April 2018 ","",""Gesundheitsversorgung auf dem Land gefährdet"; Landkreis-Präsident Christian Bernreiter glaubt nicht an die Förderung, die die CSU ankündigt","","Welt am Sonntag","","",
"","29. April 2018 ","",""Ich mochte die Underdog-Rolle"; Tarek Müller ist Gründer von About You und laut "Forbes"-Magazin einer der vielversprechendsten jungen Unternehmer Europas. Sein Erfolgsrezept: Er tut, was er will","","Welt am Sonntag","","",
"","Samstag 28. April 2018 ","","Kartell der Gesetzlosen; Rund zweieinhalb Millionen Menschen in Deutschland verdienen ihren Lebensunterhalt komplett schwarz. Sie bilden eine parallele Wirtschaftswelt mit ganz eigenen Regeln","","Die Welt","","",
"","Samstag 28. April 2018 ","","Unkraut des Herzens; Zur Hölle mit der Natur: Claire-Louise Bennett flieht in ihrem Debütroman "Teich" in die Einsamkeit der irischen Provinz und läuft im Garten Amok","","Die Welt","","",
"","Freitag 27. April 2018 ","","Man lernt ja nie aus","","Die Welt","","",
"","Freitag 27. April 2018 ","","Politik Kompakt; Krankenversicherung: SPD stellt sich gegen Spahn ++ Berlin: Hartz IV soll es nur für Ältere geben ++ Schweden: König schlägt 700 Jahre alten Rekord ++ USA: Pompeo kommt, Jackson kommt nicht","","Die Welt","","",
"","Freitag 27. April 2018 ","","Der Mann, der die "Schneeweiße" in unser Leben brachte; Der jüdische Unternehmer Oscar Troplowitz steht nicht nur hinter dem Erfolg von Nivea, er war auch ein Reformer und Wohltäter für Frauen und Benachteiligte. Vor 100 Jahren starb er viel zu jung in Hamburg","","Die Welt","","",
"","Donnerstag 26. April 2018 ","","Wirtschaft Kompakt II; Sixt: Autovermieter will Gewinn steigern ++ Fachkräftemangel: Deutschlandweit fehlen 25.000 Pfleger ++ Stiftung Warentest: Bio-Katzenfutter ist nur "mangelhaft"","","Die Welt","","",
"","Mittwoch 25. April 2018 ","","Abzocke mit Zahnspangen; Jedes zweite Kind in Deutschland in Behandlung. Kritik vom Rechnungshof","","Die Welt","","",
"","Mittwoch 25. April 2018 ","","Leserbriefe","","Die Welt","","",
"","Mittwoch 25. April 2018 ","","Wirtschaft Kompakt I; Techniker Krankenkasse: Erste elektronische Patientenakte ++ Georg Fahrenschon: Ex-Sparkassenchef akzeptiert Strafbefehl ++ Henkel-Aufsichtsrat: Weibliche Doppelspitze ++ Luftfahrt: Branche profitiert vom Trend zum Fliegen","","Die Welt","","",
"","Dienstag 24. April 2018 ","","Ein kleiner Prinz!; Herzogin Kate und Prinz William bekommen ihr drittes Kind - und die Queen ihren sechsten Urenkel","","Die Welt","","",
"","22. April 2018 ","","PKV-Prämien werden Fall für die Politik","","Welt am Sonntag","","",
"","22. April 2018 ","",""Ich will, dass sich Arbeit lohnt"; Hubertus Heil (SPD) glaubt, dass die Rente trotz alternder und schrumpfender Bevölkerung sicher bleibt, wenn es der Regierung gelingt, Vollbeschäftigung zu schaffen. Außerdem will der Bundesarbeitsminister die Einhaltung des Mindestlohns künftig strenger kontrollieren","","Welt am Sonntag","","",
"","Samstag 21. April 2018 ","","Altruismus im Garten; Der Frühling kommt mit voller Wucht: Alle wollen sie raus, Menschen wie Pflanzen. Die Deutschen sind nicht mehr zu halten. Gabriella Pape weiß, warum","","Die Welt","","",
"","Freitag 20. April 2018 ","","Wissen Kompakt; Hunger: Jeder dritte Mensch ist fehlernährt ++ Psychologie: Dauer-Nein im Job hilft gegen Stress ++ Musik: Tasteninstrumente werden digitalisiert ++ Medizin: Männer scheuen sich vor dem Zahnarzt","","Die Welt","","",
"","Freitag 20. April 2018 ","","Dann fällt das Duschen diese Woche aus; Keine Zeit für die Pflege, gefälschte Dokumentationen: Eine Altenpflegerin berichtet über ihren Arbeitsalltag","","Die Welt","","",
"","Donnerstag 19. April 2018 ","","Aggressiver Macher; In den ersten Wochen im Amt hat sich Gesundheitsminister Jens Spahn als Experte für Hartz IV, Grenzsicherung, innere Sicherheit und Islam präsentiert. Nun fängt der Arbeitsalltag an - der Ton bleibt scharf","","Die Welt","","",
"","Mittwoch 18. April 2018 ","","Einmal Teilzeit und zurück; Minister Hubertus Heil will einen Rechtsanspruch auf befristete Arbeitszeitverkürzung einführen. Die Regelung gilt nicht für kleine Firmen","","Die Welt","","",
"","Dienstag 17. April 2018 ","","Sorgen Sie für mehr Wettbewerb, Herr Spahn!","","Die Welt","","",
"","Montag 16. April 2018 ","","Finanzen Kompakt; Banken: Immer weniger Geldautomaten ++ Pilotprojekt: Bargeld: Boten helfen Senioren ++ Studium: Nicht mehr als 20 Stunden jobben ++ Kryptogeld: PC muss vor Schürfern geschützt werden","","Die Welt","","",
