"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Dienstag 8. Mai 2018 ","","Wie die AfD Raum gewinnt; In den Parlamenten lehnen die anderen Fraktionen pauschal alles ab, was die Partei vorbringt. Doch die Ressentiments der Rechten werden von vielen bereitwillig übernommen. Es müsste genau umgekehrt sein","","Die Welt","","",
"","Dienstag 8. Mai 2018 ","","An wen richtet sich die Kritik von Dobrindt?; Der CSU-Politiker sieht in Deutschland eine "Anti-Abschiebe-Industrie" am Werk. Das sind die wichtigsten Unterstützer abgelehnter Asylbewerber","","Die Welt","","",
"","Dienstag 8. Mai 2018 ","","Was kann Deutschland von Neukölln lernen, Herr Hikel?; Ein Gespräch mit dem neuen Bezirksbürgermeister über das Gelingen von Integration","","Die Welt","","",
"","Dienstag 8. Mai 2018 ","","Politik Kompakt; Italien: Regierungsbildung ist gescheitert ++ Verfassungsschutz: Warnung vor Islamisten aus dem Kaukasus ++ Holocaust-Leugnerin: Ursula Haverbeck verhaftet ++ Lubmin: Verpuffung in Kernkraftwerk","","Die Welt","","",
"","Dienstag 8. Mai 2018 ","","Entführter Vietnamese zieht Berufung zurück; Neue Wendung im Fall des früheren Geschäftsmanns","","Die Welt","","",
"","Dienstag 8. Mai 2018 ","","Kanzlerin auf Macrons Spuren; Angela Merkel erklärt in einer Schule, wie die Partnerschaft mit Frankreich so läuft","","Die Welt","","",
"","Dienstag 8. Mai 2018 ","","Hisbollah nach Wahl stärkste Kraft im Libanon; Partei von Hariri verliert ein Drittel der Parlamentssitze","","Die Welt","","",
"","Dienstag 8. Mai 2018 ","","Nie war Orbáns Spielraum größer; Ungarns Regierungschef stellt seine Minister vor - besonders eine Personalie steht im Fokus: der neue Europakoordinator. Seine Ernennung ist ein Signal in Richtung Berlin","","Die Welt","","",
"","Montag 7. Mai 2018 ","","Dobrindt kritisiert Umgang mit Abschiebungen, SPD ist genervt; CSU-Landesgruppenchef spricht von "Anti-Abschiebe-Industrie". Mancher aus der CDU stimmt ihm zu. Scharfe Kritik kommt vom Koalitionspartner, aber auch von den Grünen und der AfD","","Die Welt","","",
"","Montag 7. Mai 2018 ","","Spanien rettet Migranten aus dem Meer","","Die Welt","","",
