"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Dienstag 8. Mai 2018 ","","Was kann Deutschland von Neukölln lernen, Herr Hikel?; Ein Gespräch mit dem neuen Bezirksbürgermeister über das Gelingen von Integration","","Die Welt","","",
"","Dienstag 8. Mai 2018 ","","Zurück nach Europa; Der Westen sollte sich schon jetzt auf das Ende der Ära Putin vorbereiten: Indem er den Russen einen konkreten Plan für eine schrittweise Westintegration ihres Landes anbietet","","Die Welt","","",
"","Montag 7. Mai 2018 ","","Olaf Scholz' Chefvolkswirt warnt vor zu hohen Sozialabgaben; Vordenker des Bundesfinanzministeriums beklagt, dass Transferleistungen andere Ausgaben verdrängen","","Die Welt","","",
"","Montag 7. Mai 2018 ","","Neue Dollar-Stärke beflügelt Fantasie der Anleger; Handelskrieg zwischen USA und China wäre schwere Belastung. Starinvestor Warren Buffett warnt vor Kryptowährungen wie Bitcoin","","Die Welt","","",
"","6. Mai 2018 ","","Empörtes Wandern mit Fahne; Rund 1000 Anhänger des neuen Konservatismus ziehen auf das Hambacher Schloss in der Pfalz und hören sich rechte Reden an. Verbunden sind sie im Glauben, ähnlich stark unterdrückt zu werden wie die Demokraten des Jahres 1832","","Welt am Sonntag","","",
"","6. Mai 2018 ","","Französische Kirmes; Emmanuel Macron lässt sich wie einst de Gaulle im DS chauffieren. Vom göttlichen Flair der Limousine ist das SUV DS 7 Crossback jedoch weit entfernt","","Welt am Sonntag","","",
"","6. Mai 2018 ","","Friendly Fire; Donald Trump will mit den Zöllen auf Stahl und Aluminium der heimischen Wirtschaft helfen - tatsächlich dürften aber viele amerikanische Firmen leiden","","Welt am Sonntag","","",
"","Samstag 5. Mai 2018 ","","Wacken-Festival für Politmetal; Beim "Neuen Hambacher Fest" glaubt man an Zustände wie 1832 - und ruft zum "Patriotenmarsch" auf. Zu den Hauptrednern gehören Sarrazin und AfD-Chef Meuthen","","Die Welt","","",
"","Freitag 4. Mai 2018 ","","Jetzt ist mal gut; Bis heute weiß sich die Linke nicht anders zu helfen, als auf die dubiosen Lehren des Karl Marx zurückzugreifen. Resultat ist eine Verelendung der Kapitalismuskritik, die durchaus zu bedauern ist","","Die Welt","","",
"","Freitag 4. Mai 2018 ","","Der nächste Trump-Anwalt verlässt das Team; Dafür holt sich der US-Präsident Rudolph Giuliani und einen Ex-Berater von Bill Clinton","","Die Welt","","",
