"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Dienstag 8. Mai 2018 6:28 PM GMT+1","","Energiewende; Es wäre ehrlicher, sich von den Klimazielen völlig zu verabschieden","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 6:28 PM GMT+1","","Energiewende; Es wäre ehrlicher, sich von den Klimazielen völlig zu verabschieden","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 6:04 PM GMT+1","","Neuer Erlass beschränkt Windkraftplanungen in NRW","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 6:04 PM GMT+1","","Neuer Erlass beschränkt Windkraftplanungen in NRW","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 2:32 PM GMT+1","","EnBW treibt Konzernumbau voran","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 2:32 PM GMT+1","","EnBW treibt Konzernumbau voran","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 2:03 PM GMT+1","","Siemens gibt Offenbach "perspektivisch auf"","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 2:03 PM GMT+1","","Siemens gibt Offenbach "perspektivisch auf"","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 12:20 PM GMT+1","","Bundesnetzagentur: Innogy-Aufspaltung kein Grund zur Sorge","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 12:20 PM GMT+1","","Bundesnetzagentur: Innogy-Aufspaltung kein Grund zur Sorge","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 11:36 AM GMT+1","","EnBW will sich von konventioneller Energieerzeugung lösen","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 11:36 AM GMT+1","","EnBW will sich von konventioneller Energieerzeugung lösen","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 8:52 AM GMT+1","","Eon gewinnt mehr Kunden: Gewinn steigt kräftig","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 8:52 AM GMT+1","","Eon gewinnt mehr Kunden: Gewinn steigt kräftig","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 6:02 AM GMT+1","","Lies sieht keine Probleme für Stromversorgung nach AKW-Aus","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 6:02 AM GMT+1","","Lies sieht keine Probleme für Stromversorgung nach AKW-Aus","","WELT ONLINE (Deutsch)","","",
"","Montag 7. Mai 2018 6:48 PM GMT+1","","Technologiekonzern; Siemens schickt 30.000 Mitarbeiter in Zwangsurlaub","","WELT ONLINE (Deutsch)","","",
"","Montag 7. Mai 2018 6:48 PM GMT+1","","Technologiekonzern; Siemens schickt 30.000 Mitarbeiter in Zwangsurlaub","","WELT ONLINE (Deutsch)","","",
"","Montag 7. Mai 2018 3:25 PM GMT+1","","Senvion entwickelt mit Konsortium Offshore-Windkraftwerke","","WELT ONLINE (Deutsch)","","",
"","Montag 7. Mai 2018 3:25 PM GMT+1","","Senvion entwickelt mit Konsortium Offshore-Windkraftwerke","","WELT ONLINE (Deutsch)","","",
"","Montag 7. Mai 2018 1:42 PM GMT+1","","Eon übernimmt Windparkentwickler Vortex","","WELT ONLINE (Deutsch)","","",
"","Montag 7. Mai 2018 1:42 PM GMT+1","","Eon übernimmt Windparkentwickler Vortex","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 2:21 PM GMT+1","","CDU in NRW; Kungelfreudig, verplaudert, leichtfüßig, Laschet","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 2:21 PM GMT+1","","CDU in NRW; Kungelfreudig, verplaudert, leichtfüßig, Laschet","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 1:40 PM GMT+1","","Linke gegen Tillich in Braunkohlekommission","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 1:40 PM GMT+1","","Linke gegen Tillich in Braunkohlekommission","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 1:11 PM GMT+1","","Jugendliche schwimmen für schnellen Kohleausstieg in Spree","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 1:11 PM GMT+1","","Jugendliche schwimmen für schnellen Kohleausstieg in Spree","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 11:56 AM GMT+1","","Kraftwerk Moorburg; "Wir können Vattenfall zu nichts zwingen"","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 11:56 AM GMT+1","","Kraftwerk Moorburg; "Wir können Vattenfall zu nichts zwingen"","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 9:53 AM GMT+1","","Historiker: Angst vor belgischen Reaktoren ist übertrieben","","WELT ONLINE (Deutsch)","","",
