"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Dienstag 8. Mai 2018 5:26 PM GMT+1","","Reitsport; Weltmeisterin Auffarth tritt beim Springderby an","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 5:26 PM GMT+1","","Reitsport; Weltmeisterin Auffarth tritt beim Springderby an","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 4:41 PM GMT+1","","Land baut Netzwerk für Pflegebedürftige und Angehörige aus","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 4:41 PM GMT+1","","Land baut Netzwerk für Pflegebedürftige und Angehörige aus","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 4:34 PM GMT+1","","Landesregierung will die Westküste stärken","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 4:34 PM GMT+1","","Landesregierung will die Westküste stärken","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 4:31 PM GMT+1","","Linke verlangen mehr Hilfe für Opfer von Vergewaltigungen","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 4:31 PM GMT+1","","Linke verlangen mehr Hilfe für Opfer von Vergewaltigungen","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 3:31 PM GMT+1","","CDU gegen Mindestzahlen in Kliniken","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 3:31 PM GMT+1","","CDU gegen Mindestzahlen in Kliniken","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 2:32 PM GMT+1","","Verdacht auf Abrechnungsbetrug: Pflegedienstchefin schweigt","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 2:32 PM GMT+1","","Verdacht auf Abrechnungsbetrug: Pflegedienstchefin schweigt","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 11:13 AM GMT+1","","4,5 Millionen Ausfalltage wegen Rückenschmerzen in Bayern","","WELT ONLINE (Deutsch)","","",
