"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Sonntag 15. April 2018 7:11 PM GMT+1","","Stürmer Batshuayi mit Beinverletzung ins Krankenhaus","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 7:11 PM GMT+1","","Stürmer Batshuayi mit Beinverletzung ins Krankenhaus","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 6:40 PM GMT+1","","Zahlreiche Motorradunfälle zu Saisonbeginn: drei Tote","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 6:40 PM GMT+1","","Zahlreiche Motorradunfälle zu Saisonbeginn: drei Tote","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 6:31 PM GMT+1","","Mann mit schweren Verletzungen in Plochingen gefunden","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 6:31 PM GMT+1","","Mann mit schweren Verletzungen in Plochingen gefunden","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 6:22 PM GMT+1","","Vierjähriger angefahren und schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 6:22 PM GMT+1","","Vierjähriger angefahren und schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 5:05 PM GMT+1","","Milliarden-Überschuss; Spahn fordert Krankenkassen zu Beitragssenkungen auf","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 5:05 PM GMT+1","","Milliarden-Überschuss; Spahn fordert Krankenkassen zu Beitragssenkungen auf","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 4:32 PM GMT+1","","Zwei Schwerverletzte bei Messerangriff vor Disco in Segeberg","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 4:32 PM GMT+1","","Zwei Schwerverletzte bei Messerangriff vor Disco in Segeberg","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 4:08 PM GMT+1","","Country-Schönheit; Sie weiß, wie brutal die Idylle von Idaho ist","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 4:08 PM GMT+1","","Country-Schönheit; Sie weiß, wie brutal die Idylle von Idaho ist","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 3:51 PM GMT+1","","Sportwagen komplett zerstört: Fahrer schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 3:51 PM GMT+1","","Sportwagen komplett zerstört: Fahrer schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 3:31 PM GMT+1","","36-Jähriger auf Feier mit Messer verletzt: Täter stellt sich","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 3:31 PM GMT+1","","36-Jähriger auf Feier mit Messer verletzt: Täter stellt sich","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 3:12 PM GMT+1","","Betrunken im See gebadet: Teenager müssen ins Krankenhaus","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 3:12 PM GMT+1","","Betrunken im See gebadet: Teenager müssen ins Krankenhaus","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 3:10 PM GMT+1","","Betrunkener Fahrradfahrer bei Unfall schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 3:10 PM GMT+1","","Betrunkener Fahrradfahrer bei Unfall schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 2:33 PM GMT+1","","88 Jahre alter Fußgänger nach Verkehrsunfall gestorben","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 2:33 PM GMT+1","","88 Jahre alter Fußgänger nach Verkehrsunfall gestorben","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 2:23 PM GMT+1","","74-jähriger Rollerfahrer stirbt nach Zusammenstoß","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 2:23 PM GMT+1","","74-jähriger Rollerfahrer stirbt nach Zusammenstoß","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 1:20 PM GMT+1","","Angriff auf Assad; Sieben Lehren aus den Militärschlägen gegen Syrien","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 1:20 PM GMT+1","","Angriff auf Assad; Sieben Lehren aus den Militärschlägen gegen Syrien","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 1:18 PM GMT+1","","Spuren von "BZ"?; Lawrow verweist auf West-Kampfstoff in Skripals Blut","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 1:18 PM GMT+1","","Spuren von "BZ"?; Lawrow verweist auf West-Kampfstoff in Skripals Blut","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 1:05 PM GMT+1","","Mutmaßliche Dealer verprügeln Mann in St. Georg","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 1:05 PM GMT+1","","Mutmaßliche Dealer verprügeln Mann in St. Georg","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 12:25 PM GMT+1","","Auto gerät in Gegenverkehr: Zwei Schwerverletzte","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 12:25 PM GMT+1","","Auto gerät in Gegenverkehr: Zwei Schwerverletzte","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 12:21 PM GMT+1","","Lastwagen rammt Auto: Beifahrerin stirbt","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 12:21 PM GMT+1","","Lastwagen rammt Auto: Beifahrerin stirbt","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 12:14 PM GMT+1","","Spielendes Kind in Einfahrt übersehen und schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 12:14 PM GMT+1","","Spielendes Kind in Einfahrt übersehen und schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 12:13 PM GMT+1","","Gleitschirmflieger landet in Baumkrone: Aufwendige Rettung","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 12:13 PM GMT+1","","Gleitschirmflieger landet in Baumkrone: Aufwendige Rettung","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 11:34 AM GMT+1","","64-Jähriger bei Unfall auf Campingplatz schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 11:34 AM GMT+1","","64-Jähriger bei Unfall auf Campingplatz schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 11:11 AM GMT+1","","Asklepios kritisiert Kliniklöhne: Personalwohnungen geplant","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 11:11 AM GMT+1","","Asklepios kritisiert Kliniklöhne: Personalwohnungen geplant","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 10:53 AM GMT+1","","Berlin Volleys profitiert von Frankfurter Pech","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 10:53 AM GMT+1","","Berlin Volleys profitiert von Frankfurter Pech","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 10:31 AM GMT+1","","Mann mit Messer attackiert und schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 10:31 AM GMT+1","","Mann mit Messer attackiert und schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 9:51 AM GMT+1","","Gehalts-Aufschlag für Pfleger: Klinik kämpft um Personal","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 9:51 AM GMT+1","","Gehalts-Aufschlag für Pfleger: Klinik kämpft um Personal","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 9:42 AM GMT+1","","Auto fährt in Biker-Gruppe: Motorradfahrer stirbt","","WELT ONLINE (Deutsch)","","",
"","Sonntag 15. April 2018 9:42 AM GMT+1","","Auto fährt in Biker-Gruppe: Motorradfahrer stirbt","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 11:59 PM GMT+1","","Angriff auf Assad; Sieben Lehren aus den Militärschlägen gegen Syrien","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 9:52 PM GMT+1","","Kind überlebt Sturz aus dem vierten Stock","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 9:52 PM GMT+1","","Kind überlebt Sturz aus dem vierten Stock","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 7:42 PM GMT+1","","Autofahrer wendet: Kradfahrer lebensgefährlich verletzt","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 7:42 PM GMT+1","","Autofahrer wendet: Kradfahrer lebensgefährlich verletzt","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 4:43 PM GMT+1","","Couch brennt in Mehrfamilienhaus","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 4:43 PM GMT+1","","Couch brennt in Mehrfamilienhaus","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 4:42 PM GMT+1","","Randale vor der Wache; Polizei schießt in Berlin 20-Jährigen ins Bein","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 4:42 PM GMT+1","","Randale vor der Wache; Polizei schießt in Berlin 20-Jährigen ins Bein","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 4:13 PM GMT+1","","81-Jähriger erfasst mit Auto Fußgänger auf Klinikgelände","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 4:13 PM GMT+1","","81-Jähriger erfasst mit Auto Fußgänger auf Klinikgelände","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 2:34 PM GMT+1","","Wegen Giftgasangriff; USA und Verbündete greifen Syrien mit "Präzisionsschlägen" an","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 2:34 PM GMT+1","","Wegen Giftgasangriff; USA und Verbündete greifen Syrien mit "Präzisionsschlägen" an","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 2:31 PM GMT+1","","20-Jähriger durch Polizeischuss ins Bein schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 2:31 PM GMT+1","","20-Jähriger durch Polizeischuss ins Bein schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 2:01 PM GMT+1","","89-jähriger Autofahrer bei Verkehrsunfall schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 2:01 PM GMT+1","","89-jähriger Autofahrer bei Verkehrsunfall schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 1:32 PM GMT+1","","Autos prallen in Kurve zusammen: 43-Jährige stirbt","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 1:32 PM GMT+1","","Autos prallen in Kurve zusammen: 43-Jährige stirbt","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 1:01 PM GMT+1","","Zwei Schwerverletzte bei Autounfall in Löningen","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 1:01 PM GMT+1","","Zwei Schwerverletzte bei Autounfall in Löningen","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 12:40 PM GMT+1","","E-Bike-Fahrerin von Lkw erfasst: Schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 12:40 PM GMT+1","","E-Bike-Fahrerin von Lkw erfasst: Schwer verletzt","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 12:22 PM GMT+1","","Autobahn 49 nach Unfall mit vier Autos gesperrt","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 12:22 PM GMT+1","","Autobahn 49 nach Unfall mit vier Autos gesperrt","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 12:11 PM GMT+1","","36-Jähriger auf Privatfeier mit Messer angegriffen","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 12:11 PM GMT+1","","36-Jähriger auf Privatfeier mit Messer angegriffen","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 11:13 AM GMT+1","","Drei Verletzte bei Wohnhausbrand in Chemnitz","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 11:13 AM GMT+1","","Drei Verletzte bei Wohnhausbrand in Chemnitz","","WELT ONLINE (Deutsch)","","",
"","Samstag 14. April 2018 11:01 AM GMT+1","","Erneut Weltkriegs-Bombe in Frankfurt entschärft","","WELT ONLINE (Deutsch)","","",
