"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Dienstag 8. Mai 2018 8:22 PM GMT+1","","CDU-Politikerin verlässt wegen "Hotel-Affäre" Parteivorstand","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 8:22 PM GMT+1","","CDU-Politikerin verlässt wegen "Hotel-Affäre" Parteivorstand","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 8:11 PM GMT+1","","Migrationspolitik; "Das ist der eigentliche Angriff auf den Rechtsstaat"","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 8:11 PM GMT+1","","Migrationspolitik; "Das ist der eigentliche Angriff auf den Rechtsstaat"","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 7:35 PM GMT+1","","Migration aus der Türkei; Athen besorgt über Flüchtlingsroute über den Grenzfluss Evros","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 7:35 PM GMT+1","","Migration aus der Türkei; Athen besorgt über Flüchtlingsroute über den Grenzfluss Evros","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 7:13 PM GMT+1","","Bei Razzien in Flüchtlingsunterkünften Drogen beschlagnahmt","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 7:13 PM GMT+1","","Bei Razzien in Flüchtlingsunterkünften Drogen beschlagnahmt","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 6:30 PM GMT+1","","Dreyer will mehr Rechtsklarheit zu Schwangerschaftsabbrüchen","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 6:30 PM GMT+1","","Dreyer will mehr Rechtsklarheit zu Schwangerschaftsabbrüchen","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 6:09 PM GMT+1","","Ellwangen; Gericht erlaubt Abschiebung von Togoer, Flüchtlinge kündigen Mahnwache an","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 6:09 PM GMT+1","","Ellwangen; Gericht erlaubt Abschiebung von Togoer, Flüchtlinge kündigen Mahnwache an","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 5:26 PM GMT+1","","Abschiebung des Togoers erlaubt: Rechtsmittel aber möglich","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 5:26 PM GMT+1","","Abschiebung des Togoers erlaubt: Rechtsmittel aber möglich","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 5:02 PM GMT+1","","Demmin feiert den Frieden: Protest gegen NPD-Aufmarsch","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 5:02 PM GMT+1","","Demmin feiert den Frieden: Protest gegen NPD-Aufmarsch","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 4:29 PM GMT+1","","Tübingens Oberbürgermeister; Boris Palmer gibt "schweren Fehler" zu","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 4:29 PM GMT+1","","Tübingens Oberbürgermeister; Boris Palmer gibt "schweren Fehler" zu","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 4:06 PM GMT+1","","Asyl-Skandal; Bremer Außenstelle erhebt schwere Vorwürfe gegen BAMF","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 4:06 PM GMT+1","","Asyl-Skandal; Bremer Außenstelle erhebt schwere Vorwürfe gegen BAMF","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 3:55 PM GMT+1","","Ägypter flieht mit Fenstersprung vor Abschiebung","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 3:55 PM GMT+1","","Ägypter flieht mit Fenstersprung vor Abschiebung","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 3:29 PM GMT+1","","SPD: Innenminister soll Gefährder-Abschiebung übernehmen","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 3:29 PM GMT+1","","SPD: Innenminister soll Gefährder-Abschiebung übernehmen","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 3:23 PM GMT+1","","Kretschmann verteidigt Polizeieinsatz in Ellwangen","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 3:23 PM GMT+1","","Kretschmann verteidigt Polizeieinsatz in Ellwangen","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 2:33 PM GMT+1","",""Tourismus vor neuen Herausforderungen und Chancen"","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 2:33 PM GMT+1","",""Tourismus vor neuen Herausforderungen und Chancen"","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 2:01 PM GMT+1","","Polen gewinnt Preis mit Aufarbeitung eines NS-Lagers","","WELT ONLINE (Deutsch)","","",
