"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Dienstag 8. Mai 2018 5:15 PM GMT+1","","Durchsuchungen im Rhein-Main-Gebiet: Steuerbetrugs-Verdacht","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 5:15 PM GMT+1","","Durchsuchungen im Rhein-Main-Gebiet: Steuerbetrugs-Verdacht","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 12:40 PM GMT+1","","DS 7 Crossback; So gut ist das Auto von Emmanuel Macron","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 12:40 PM GMT+1","","DS 7 Crossback; So gut ist das Auto von Emmanuel Macron","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 11:38 AM GMT+1","","Zum Start etwas Besonderes; Mercedes-AMG GT 63 S 4MATIC+ Edition 1","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 11:38 AM GMT+1","","Zum Start etwas Besonderes; Mercedes-AMG GT 63 S 4MATIC+ Edition 1","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 11:37 AM GMT+1","","Mehr Technik für 208 und 308; Peugeot-Sondermodelle","","WELT ONLINE (Deutsch)","","",
"","Dienstag 8. Mai 2018 11:37 AM GMT+1","","Mehr Technik für 208 und 308; Peugeot-Sondermodelle","","WELT ONLINE (Deutsch)","","",
"","Montag 7. Mai 2018 7:34 PM GMT+1","","Russische Perspektiven; Wird Russland nach Putin prowestlich?","","WELT ONLINE (Deutsch)","","",
"","Montag 7. Mai 2018 7:34 PM GMT+1","","Russische Perspektiven; Wird Russland nach Putin prowestlich?","","WELT ONLINE (Deutsch)","","",
"","Montag 7. Mai 2018 6:35 PM GMT+1","","Vier Haftbefehle wegen Verdachts auf Drogenhandel","","WELT ONLINE (Deutsch)","","",
